time,ship_id,state,detail
724.0899659931716,7,SERVICE_COMPLETED,Suez
724.0899659931716,7,DEPARTED,Suez
724.0899659931716,7,ENROUTE,Antwerp
730.255462879363,3,SERVICE_COMPLETED,Shanghai
730.255462879363,3,DEPARTED,Shanghai
730.255462879363,3,ENROUTE,Singapore
733.8030312244526,2,SERVICE_COMPLETED,Singapore
733.8030312244526,2,DEPARTED,Singapore
733.8030312244526,2,ENROUTE,Suez
740.4592261084933,12,BERTHED,1
740.4592261084933,12,SERVICE_STARTED,1
744.4848085076551,13,BERTHED,2
744.4848085076551,13,SERVICE_STARTED,2
757.92589277516,12,SERVICE_COMPLETED,Antwerp
757.92589277516,12,DEPARTED,Antwerp
757.92589277516,12,ENROUTE,Panama
765.1514751743217,13,SERVICE_COMPLETED,Antwerp
765.1514751743217,13,DEPARTED,Antwerp
765.1514751743217,13,ENROUTE,Panama
767.3389185145437,14,BERTHED,1
767.3389185145437,14,SERVICE_STARTED,1
768.1024104168002,9,BERTHED,1
768.1024104168002,9,SERVICE_STARTED,1
777.9524104168003,9,SERVICE_COMPLETED,Panama
777.9524104168003,9,DEPARTED,Panama
777.9524104168003,9,ENROUTE,Singapore
781.1357437501335,16,BERTHED,1
781.1357437501335,16,SERVICE_STARTED,1
793.7232993265051,8,BERTHED,1
793.7232993265051,8,SERVICE_STARTED,1
804.7066326598384,8,SERVICE_COMPLETED,Suez
804.7066326598384,8,DEPARTED,Suez
804.7066326598384,8,ENROUTE,Singapore
812.97589277516,19,BERTHED,1
812.97589277516,19,SERVICE_STARTED,1
822.1555851812104,14,SERVICE_COMPLETED,Singapore
822.1555851812104,14,DEPARTED,Singapore
822.1555851812104,14,ENROUTE,Suez
833.2332221219023,3,BERTHED,1
833.2332221219023,3,SERVICE_STARTED,1
836.790669596368,1,BERTHED,2
836.790669596368,1,SERVICE_STARTED,2
845.1740029297014,1,SERVICE_COMPLETED,Antwerp
845.1740029297014,1,DEPARTED,Antwerp
845.1740029297014,1,ENROUTE,Suez
847.4124109386012,15,BERTHED,2
847.4124109386012,15,SERVICE_STARTED,2
849.1645404056029,20,BERTHED,2
849.1645404056029,20,SERVICE_STARTED,2
856.4857437501336,16,SERVICE_COMPLETED,Panama
856.4857437501336,16,DEPARTED,Panama
856.4857437501336,16,ENROUTE,Antwerp
862.7103181625648,11,BERTHED,1
862.7103181625648,11,SERVICE_STARTED,1
870.7957442719345,22,BERTHED,1
870.7957442719345,22,SERVICE_STARTED,1
873.8332221219023,3,SERVICE_COMPLETED,Singapore
873.8332221219023,3,DEPARTED,Singapore
873.8332221219023,3,ENROUTE,Shanghai
877.5436514958982,11,SERVICE_COMPLETED,Antwerp
877.5436514958982,11,DEPARTED,Antwerp
877.5436514958982,11,ENROUTE,Panama
879.71008779508,6,BERTHED,1
879.71008779508,6,SERVICE_STARTED,1
885.81008779508,6,SERVICE_COMPLETED,Antwerp
885.81008779508,6,DEPARTED,Antwerp
885.81008779508,6,ENROUTE,Panama
897.0592261084934,19,SERVICE_COMPLETED,Antwerp
897.0592261084934,19,DEPARTED,Antwerp
897.0592261084934,19,ENROUTE,Suez
903.006171464711,5,BERTHED,1
903.006171464711,5,SERVICE_STARTED,1
912.833466725597,7,BERTHED,1
912.833466725597,7,SERVICE_STARTED,1
919.4978737389363,20,SERVICE_COMPLETED,Singapore
919.4978737389363,20,DEPARTED,Singapore
919.4978737389363,20,ENROUTE,Suez
932.3429305214925,2,BERTHED,2
932.3429305214925,2,SERVICE_STARTED,2
932.8536520176992,18,BERTHED,2
932.8536520176992,18,SERVICE_STARTED,2
935.7603181625648,17,QUEUED,Antwerp
956.033466725597,7,SERVICE_COMPLETED,Antwerp
956.033466725597,17,BERTHED,big
956.033466725597,17,SERVICE_STARTED,big
956.033466725597,7,DEPARTED,Antwerp
956.033466725597,7,ENROUTE,Suez
956.8895047980443,5,SERVICE_COMPLETED,Shanghai
956.8895047980443,5,DEPARTED,Shanghai
956.8895047980443,5,ENROUTE,Panama
959.7624109386012,22,SERVICE_COMPLETED,Suez
959.7624109386012,22,DEPARTED,Suez
959.7624109386012,22,ENROUTE,Antwerp
971.633466725597,17,SERVICE_COMPLETED,Antwerp
971.633466725597,17,DEPARTED,Antwerp
971.633466725597,17,ENROUTE,Suez
976.8109813644415,3,BERTHED,1
976.8109813644415,3,SERVICE_STARTED,1
991.7262638548258,2,SERVICE_COMPLETED,Suez
991.7262638548258,2,DEPARTED,Suez
991.7262638548258,2,ENROUTE,Singapore
1003.2465319568782,8,BERTHED,1
1003.2465319568782,8,SERVICE_STARTED,1
1007.6083555728542,4,BERTHED,2
1007.6083555728542,4,SERVICE_STARTED,2
1011.5124109386012,15,SERVICE_COMPLETED,Panama
1011.5124109386012,15,DEPARTED,Panama
1011.5124109386012,15,ENROUTE,Shanghai
1020.6954844782503,14,BERTHED,1
1020.6954844782503,14,SERVICE_STARTED,1
1024.094314697775,3,SERVICE_COMPLETED,Shanghai
1024.094314697775,3,DEPARTED,Shanghai
1024.094314697775,3,ENROUTE,Singapore
1028.7465319568782,8,SERVICE_COMPLETED,Singapore
1028.7465319568782,8,DEPARTED,Singapore
1028.7465319568782,8,ENROUTE,Shanghai
1032.6703186843658,18,SERVICE_COMPLETED,Antwerp
1032.6703186843658,18,DEPARTED,Antwerp
1032.6703186843658,18,ENROUTE,Panama
1033.1236998179645,12,BERTHED,1
1033.1236998179645,12,SERVICE_STARTED,1
1033.9175036621268,1,BERTHED,2
1033.9175036621268,1,SERVICE_STARTED,2
1039.307033151298,12,SERVICE_COMPLETED,Panama
1039.307033151298,12,DEPARTED,Panama
1039.307033151298,12,ENROUTE,Shanghai
1040.3492822171263,13,BERTHED,1
1040.3492822171263,13,SERVICE_STARTED,1
1059.8788178115835,14,SERVICE_COMPLETED,Suez
1059.8788178115835,14,DEPARTED,Suez
1059.8788178115835,14,ENROUTE,Antwerp
1061.775022239521,4,SERVICE_COMPLETED,Singapore
1061.775022239521,4,DEPARTED,Singapore
1061.775022239521,4,ENROUTE,Panama
1063.1675036621268,1,SERVICE_COMPLETED,Suez
1063.1675036621268,1,DEPARTED,Suez
1063.1675036621268,1,ENROUTE,Antwerp
1080.065948883793,13,SERVICE_COMPLETED,Panama
1080.065948883793,13,DEPARTED,Panama
1080.065948883793,13,ENROUTE,Antwerp
1081.200597373917,10,BERTHED,1
1081.200597373917,10,SERVICE_STARTED,1
1085.8027268409187,19,BERTHED,1
1085.8027268409187,19,SERVICE_STARTED,1
1108.2839307072502,10,SERVICE_COMPLETED,Shanghai
1108.2839307072502,10,DEPARTED,Shanghai
1108.2839307072502,10,ENROUTE,Singapore
1118.037773035976,20,BERTHED,2
1118.037773035976,20,SERVICE_STARTED,2
1120.372578337693,21,BERTHED,1
1120.372578337693,21,SERVICE_STARTED,1
1127.072073940314,3,BERTHED,1
1127.072073940314,3,SERVICE_STARTED,1
1131.5059116710265,21,SERVICE_COMPLETED,Panama
1131.5059116710265,21,DEPARTED,Panama
1131.5059116710265,21,ENROUTE,Antwerp
1131.683550792938,16,BERTHED,1
1131.683550792938,16,SERVICE_STARTED,1
1131.7242911994174,8,BERTHED,1
1131.7242911994174,8,SERVICE_STARTED,1
1144.7769674580222,7,QUEUED,Suez
1148.5059116710265,22,BERTHED,2
1148.5059116710265,22,SERVICE_STARTED,2
1152.7414585387028,11,BERTHED,1
1152.7414585387028,11,SERVICE_STARTED,1
1155.0711063693093,20,SERVICE_COMPLETED,Suez
1155.0711063693093,7,BERTHED,big
1155.0711063693093,7,SERVICE_STARTED,big
1155.0711063693093,20,DEPARTED,Suez
1155.0711063693093,20,ENROUTE,Antwerp
1160.3769674580224,17,BERTHED,1
1160.3769674580224,17,SERVICE_STARTED,1
1161.0078948378846,6,BERTHED,2
1161.0078948378846,6,SERVICE_STARTED,2
1161.840957866084,8,SERVICE_COMPLETED,Shanghai
1161.840957866084,8,DEPARTED,Shanghai
1161.840957866084,8,ENROUTE,Singapore
1177.286060174252,19,SERVICE_COMPLETED,Suez
1177.286060174252,19,DEPARTED,Suez
1177.286060174252,19,ENROUTE,Antwerp
1178.672073940314,3,SERVICE_COMPLETED,Singapore
1178.672073940314,3,DEPARTED,Singapore
1178.672073940314,3,ENROUTE,Shanghai
1190.2661631518656,2,BERTHED,1
1190.2661631518656,2,SERVICE_STARTED,1
1191.4044397026425,7,SERVICE_COMPLETED,Suez
1191.4044397026425,7,DEPARTED,Suez
1191.4044397026425,7,ENROUTE,Singapore
1199.9668841262712,16,SERVICE_COMPLETED,Antwerp
1199.9668841262712,16,DEPARTED,Antwerp
1199.9668841262712,16,ENROUTE,Panama
1200.3914585387029,11,SERVICE_COMPLETED,Panama
1200.3914585387029,11,DEPARTED,Panama
1200.3914585387029,11,ENROUTE,Singapore
1204.3769674580224,17,SERVICE_COMPLETED,Suez
1204.3769674580224,17,DEPARTED,Suez
1204.3769674580224,17,ENROUTE,Antwerp
1211.2616899497893,10,BERTHED,2
