loop,cum_reward
616,-23273.25936086566
617,-23315.847244461704
618,-23310.44184190172
619,-23330.834792855967
620,-23217.368126189296
621,-23043.282956500414
622,-23080.68937650652
623,-23104.112648494898
624,-23200.27078861139
625,-23212.346932001197
626,-23156.563598667864
627,-22796.420264737717
628,-22798.872508414574
629,-22737.753383343505
630,-22841.9203427756
631,-23189.88474851715
632,-23223.568081850484
633,-23146.19728698894
634,-23238.053518452863
635,-23379.421456234428
636,-23592.90478956776
637,-23622.388122901095
638,-23481.476497916265
639,-23638.514693609526
640,-23587.948068334226
641,-23596.53092120323
642,-23620.877350655854
643,-23848.716462641805
644,-23651.192705139543
645,-23651.207946309984
646,-23676.4664638359
647,-23648.731490648443
648,-23915.67809195015
649,-23960.371155415174
650,-23985.79583278184
651,-23900.966703327478
652,-23899.91670332748
653,-23985.053083319246
654,-24028.335261749464
655,-24063.268595082798
656,-23902.155547864753
657,-25263.957414974448
658,-25232.779122007265
659,-25253.41821978349
660,-25276.651553116822
661,-25267.6654195025
662,-25097.41791252626
663,-25355.21791252627
664,-25269.397341165088
665,-25271.120852051183
666,-25338.641716602768
667,-25355.3750499361
668,-25451.441235372815
669,-25480.058580099212
670,-25441.236111293183
671,-25462.836111293185
672,-25421.096775054266
673,-25657.02624483998
674,-25743.86085750327
675,-25984.094190836608
676,-26037.54419083661
677,-26057.30094649733
678,-26101.335133589568
679,-26317.664894356305
680,-26331.325742386347
681,-26331.856090509293
682,-26328.87548336371
683,-26350.07548336371
684,-26380.011363720823
685,-26428.711363720824
686,-26554.093077253186
687,-26805.615797438004
688,-26870.256295660332
689,-26930.543061766683
690,-26935.126507557376
691,-26999.533493531297
692,-27024.585521400375
693,-27044.064664569378
694,-26984.565173862295
695,-26995.38803133784
696,-26971.834249576394
697,-27067.74528856923
698,-29823.098089233772
699,-29858.620920986745
700,-29901.80425432008
701,-29849.695968042746
702,-29741.554108736625
703,-29752.104108736625
704,-29799.13654368562
705,-29764.9933488143
706,-29715.658596069145
707,-29754.55904647137
708,-29872.232154696143
709,-29884.319865273108
710,-29812.451002774364
711,-29795.17719848639
712,-29820.71494760908
713,-29852.732921654093
714,-29852.832921654095
715,-29902.066254987432
716,-29932.35821863772
717,-29967.924885304386
718,-29903.64855497042
719,-30145.302787949262
720,-30036.250261084984
721,-30055.72711203518
722,-30075.143778701848
723,-30160.61494937066
724,-30374.398345769114
725,-30472.531862083415
726,-30759.089109146786
727,-30854.26816886982
728,-30872.50962301324
729,-30898.91751128808
730,-30865.244143676708
731,-30875.30107819545
732,-30949.860353073218
733,-31054.154780352557
734,-31235.72254922676
735,-31137.067901837752
736,-31159.790391249415
737,-31115.102821111086
738,-31133.436154444422
739,-31171.746678301748
740,-31686.21334496843
741,-31730.4840119126
742,-31585.03442876877
743,-31745.234428768774
744,-31935.597425177664
745,-31845.530758511002
746,-31741.87388481158
747,-31774.27388481158
748,-31716.86805497955
749,-31689.70594110659
750,-31658.26333770544
751,-31617.559667344296
752,-31623.32012654748
753,-31659.23679321415
754,-31648.64464415281
755,-31654.977977486145
756,-31542.45374294096
757,-31557.225040937883
758,-31584.47733387504
759,-31573.326138166703
760,-31599.072507383742
761,-31612.63917405042
762,-31620.525447988264
763,-31995.68122272007
764,-32209.48933668702
765,-32293.256358361596
766,-32275.32572391442
767,-32320.492390581087
768,-32326.626673756517
769,-32362.21382115337
770,-32318.307920323237
771,-32361.633985906596
772,-32322.115751000663
773,-32475.499084334
774,-32982.882417667344
775,-33008.16575100068
776,-33151.09908433402
777,-33187.21184263189
778,-33196.51800027391
779,-33317.503824578765
780,-33275.551207572724
781,-33338.889574895715
782,-33389.306241562386
783,-33353.06833020573
784,-33467.855712206016
785,-33501.489045539354
786,-33735.8057823321
787,-33751.68133294643
788,-33775.36466627976
789,-33794.959481320315
790,-33821.691250835494
791,-33727.159195952925
792,-33760.06534390024
793,-33794.27603945925
794,-33862.41647573616
795,-33780.61457318038
796,-33889.445021688945
797,-33939.23966798437
798,-34017.07300131771
799,-34038.2756553728
800,-34163.29392744099
801,-34173.31059410766
802,-34074.73638727139
803,-34124.842942518175
804,-34334.097484275895
805,-34407.07731042032
806,-34430.160643753654
807,-34304.54469591677
808,-34320.02960923896
809,-34290.530766096796
810,-34304.196147966104
811,-34359.938422866
812,-34386.521756199334
813,-34490.52175619934
814,-34409.92348795927
815,-34229.71805267756
816,-34258.751692436585
817,-34368.97866111498
818,-34392.194005735044
819,-34474.7167982452
820,-34519.80013157854
821,-34393.79645423463
822,-34901.92978756797
823,-34853.3044743786
824,-34876.26284137263
825,-34841.56985838093
826,-34859.63780471702
827,-34855.74904044298
828,-34855.76428161342
829,-34894.06428161342
830,-34922.23186636446
831,-34933.73186636446
832,-34946.252907472044
833,-34923.883538319395
834,-34875.13551991059
835,-34857.49808818554
836,-34954.648088185546
837,-34853.60948952298
838,-34840.31580276801
839,-34825.70958700147
840,-34838.45662724627
841,-34873.886921502
842,-34832.01216555787
843,-34797.24631793628
844,-34818.51901229354
845,-34930.514581390125
846,-35007.59791472346
847,-35205.68362685499
848,-35265.129191372485
849,-35273.91252470582
850,-35295.79585803916
851,-35353.56800774247
852,-35460.08467440914
853,-35458.080024872725
854,-35381.935351849614
855,-35622.08195096847
856,-35615.85604019674
857,-35626.71762893527
858,-35704.13429560194
859,-35735.904271237654
860,-35993.37627694615
861,-36009.86858632053
862,-36285.88525298721
863,-36169.20191965388
864,-36093.73971067291
865,-35973.01793904508
866,-36000.06793904508
867,-36017.30304790602
868,-36045.68892518436
869,-36058.83892518436
870,-36073.87810336743
871,-36093.12810336743
872,-36247.18757392739
873,-36260.340658874615
874,-36426.38364429014
875,-36345.18584535089
876,-36159.48584535091
877,-36643.98584535092
878,-36703.09162401106
879,-36724.28808071668
880,-36684.76231532114
881,-36702.88809759301
882,-36728.670108007165
883,-36749.167163645805
884,-36787.86716364581
885,-36819.26724235022
886,-36690.292076289516
887,-36754.53946964005
888,-36709.12775287865
889,-36713.84441954532
890,-36734.52775287866
891,-36696.770155464874
892,-36637.98621291906
893,-36543.99261219617
894,-36548.475945529506
895,-36647.68203946133
896,-36711.16537279467
897,-36724.43293646144
898,-36834.999720839965
899,-36780.1159877154
900,-36839.536628130576
901,-37188.70329479726
902,-37185.08443155683
903,-37192.96168600938
904,-37046.15850703361
905,-37056.65850703361
906,-37061.9794131249
907,-37346.50164170013
908,-37408.54335962935
909,-37414.243359629356
910,-37329.17894634084
911,-37482.92734054206
912,-37561.344007208725
913,-37709.35783985068
914,-37718.941173184015
915,-37760.68360208864
916,-37769.69444088238
917,-37801.64051229583
918,-37810.36217141069
919,-37933.64635591916
920,-37952.18479769652
921,-37948.07263739114
922,-37992.086958990534
923,-38075.226631186095
924,-37931.45584234543
925,-38148.7148776144
926,-38222.25011350353
927,-38181.51905881692
928,-38219.969058816925
929,-38189.60708439097
930,-38238.32375105764
931,-38250.97575429657
932,-38064.026648903506
933,-38022.069388449934
934,-38054.969388449936
935,-38097.36938844994
936,-38059.01023741095
937,-38069.80242302655
938,-38026.40547843124
939,-37983.958237958905
940,-38220.51900905972
941,-38249.25190195271
942,-38276.851210504516
943,-38255.20172538701
944,-38479.61694997508
945,-38544.000283308415
946,-38505.9458083736
947,-38501.554497802696
948,-38530.367111251464
949,-38561.51754625985
950,-38647.017546259856
951,-38729.27131359
952,-38762.32131359
953,-38818.5494103504
954,-38846.31607701707
955,-38965.276568124464
956,-38991.61179836911
957,-38993.53339972713
958,-38995.45500108515
959,-39019.49161599322
960,-39058.99356012751
961,-39032.48385060862
962,-39135.71149184173
963,-39171.028158508394
964,-39233.78576587551
965,-39235.70736723353
966,-39419.59242926779
967,-39356.57753525762
968,-39359.247366100455
969,-39466.91403276713
970,-39523.76103865172
971,-39560.86502476659
972,-39594.50112433613
973,-39601.63876408016
974,-39650.40543074683
975,-39652.327032104855
976,-40169.16634035848
977,-40171.087941716505
978,-40171.07127504984
979,-40230.471275049844
980,-40191.62899015384
981,-40465.91232348718
982,-40691.31232348718
983,-40696.066437407884
984,-40565.16194247342
985,-40490.60197409054
986,-40638.274582201775
987,-40523.21687655084
988,-40559.10985829277
989,-40569.84726678074
990,-40598.49918936365
991,-40749.04918936366
992,-40791.998155270136
993,-40790.45756885204
994,-40787.44387761047
995,-40814.2654789685
996,-40685.591937993646
997,-40714.208604660314
998,-40716.13020601834
999,-40690.431057770154
1000,-40707.67518611639
1001,-40807.41938504879
1002,-40816.87884463295
1003,-40713.27502521468
1004,-40737.889999480496
1005,-40790.40666614716
1006,-40828.82333281383
1007,-40792.87408594123
1008,-40762.29150311252
1009,-40796.40816977919
1010,-40775.06728818388
1011,-40972.700621517215
1012,-40919.338198457364
1013,-40953.63819845737
1014,-41362.84176329939
1015,-41700.676065803076
1016,-41728.43606522074
1017,-41735.30273188741
1018,-41681.99959503415
1019,-41720.17131264561
1020,-41748.881071164295
1021,-41803.9310711643
1022,-41854.0195154293
1023,-41863.53931045786
1024,-41919.56867062983
1025,-41876.89157536257
1026,-41853.88872934793
1027,-41807.32206268127
1028,-41637.12335384509
1029,-41968.01731113316
1030,-41886.236678107016
1031,-41914.18300227347
1032,-42268.54445520639
1033,-42301.11515472621
1034,-42524.92888558223
1035,-42559.689949322055
1036,-44099.62421621024
1037,-44108.32421621024
1038,-44123.90754954357
1039,-44177.708979385025
1040,-44179.63058074305
1041,-44178.14724740972
1042,-44180.06884876774
1043,-44442.08322230427
1044,-44674.807586799456
1045,-44639.03757516026
1046,-45052.50780666894
1047,-45057.54136796294
1048,-44884.7736340219
1049,-44886.69523537992
1050,-44540.21274947981
1051,-44638.80101750451
1052,-44654.370451415125
1053,-44621.94951767558
1054,-44661.79275844234
1055,-44565.07826958363
1056,-44397.46718047512
1057,-44224.05294739121
1058,-44184.889593294625
1059,-44192.651175875624
1060,-44043.43055104605
1061,-44151.09485926984
1062,-44221.8358577042
1063,-44222.85377017384
1064,-44476.8463896812
1065,-44512.629723014536
1066,-44541.863056347865
1067,-44515.27626454821
1068,-44480.166596625546
1069,-44546.79881849826
1070,-44663.72874296765
1071,-44883.964932927986
1072,-44759.26812644194
1073,-44784.311086632486
1074,-44701.870045623735
1075,-44725.353378957065
1076,-45379.24574453023
1077,-45407.22427074952
1078,-45243.861405629825
1079,-46679.229939406185
1080,-46717.99181132995
1081,-46742.408477996614
1082,-46705.72540136954
1083,-46787.15873470289
1084,-46816.13453852614
1085,-46893.367871859475
1086,-46921.37871055831
1087,-46939.40038814578
1088,-47193.65429575893
1089,-47138.18446857634
1090,-47554.971366751706
1091,-47570.588033418375
1092,-47571.6567484759
1093,-47593.35679157866
1094,-47610.97345824533
1095,-47831.71543428443
1096,-47823.33780207033
1097,-47633.45800577743
1098,-47645.041339110765
1099,-47638.33119386161
1100,-47692.95145160747
1101,-47931.14319609714
1102,-47891.881174179216
1103,-49439.50853537195
1104,-49799.29186870528
1105,-49824.34384838113
1106,-49812.068873419725
1107,-49852.61887341972
1108,-49877.940211276946
1109,-49898.40687794361
1110,-49863.23420341549
1111,-50201.13147801355
1112,-50200.54824687501
1113,-50160.35077715448
1114,-50527.89068556522
1115,-50731.590685565214
1116,-50535.68968687065
1117,-51397.22395375883
1118,-51430.12103402762
1119,-51465.904367360956
1120,-51713.51570172462
1121,-51730.0452121691
1122,-51740.694597673275
1123,-51759.99190779992
1124,-51734.111897345734
