time,ship_id,state,port,berth_id
321.07218515174515,3,SERVICE_COMPLETE,Singapore,2
321.07218515174515,3,DEPARTED,Singapore,0
321.07218515174515,3,ENROUTE,Shanghai,0
324.90656596370644,15,SERVICE_COMPLETE,Singapore,1
324.90656596370644,15,DEPARTED,Singapore,0
324.90656596370644,15,ENROUTE,Shanghai,0
338.59780704280445,13,SERVICE_COMPLETE,Antwerp,2
338.59780704280445,13,DEPARTED,Antwerp,0
338.59780704280445,13,ENROUTE,Suez,0
350.4811403761378,20,SERVICE_COMPLETE,Antwerp,1
350.4811403761378,20,DEPARTED,Antwerp,0
350.4811403761378,20,ENROUTE,Suez,0
367.83432520624575,8,BERTHED,Shanghai,1
367.83432520624575,8,SERVICE_STARTED,Shanghai,1
424.0499443942844,3,BERTHED,Shanghai,2
424.0499443942844,3,SERVICE_STARTED,Shanghai,2
425.6176585395791,8,SERVICE_COMPLETE,Shanghai,1
425.6176585395791,8,DEPARTED,Shanghai,0
425.6176585395791,8,ENROUTE,Singapore,0
427.8843252062457,15,BERTHED,Shanghai,1
427.8843252062457,15,SERVICE_STARTED,Shanghai,1
441.40099187291236,15,SERVICE_COMPLETE,Shanghai,1
441.40099187291236,15,DEPARTED,Shanghai,0
441.40099187291236,15,ENROUTE,Panama,0
441.8947523990222,12,BERTHED,Panama,1
441.8947523990222,12,SERVICE_STARTED,Panama,1
442.4036681315173,1,BERTHED,Antwerp,1
442.4036681315173,1,SERVICE_STARTED,Antwerp,1
446.070334798184,1,SERVICE_COMPLETE,Antwerp,1
446.070334798184,1,DEPARTED,Antwerp,0
446.070334798184,1,ENROUTE,Suez,0
451.0167333627985,7,BERTHED,Singapore,1
451.0167333627985,7,SERVICE_STARTED,Singapore,1
453.83327772761777,3,SERVICE_COMPLETE,Shanghai,2
453.83327772761777,3,DEPARTED,Shanghai,0
453.83327772761777,3,ENROUTE,Singapore,0
460.42808573235556,5,BERTHED,Panama,2
460.42808573235556,5,SERVICE_STARTED,Panama,2
460.6964652607462,2,BERTHED,Suez,1
460.6964652607462,2,SERVICE_STARTED,Suez,1
462.40006669613183,14,BERTHED,Singapore,2
462.40006669613183,14,SERVICE_STARTED,Singapore,2
465.26141906568887,12,SERVICE_COMPLETE,Panama,1
465.26141906568887,12,DEPARTED,Panama,0
465.26141906568887,12,ENROUTE,Antwerp,0
484.46141906568886,19,BERTHED,Panama,1
484.46141906568886,19,SERVICE_STARTED,Panama,1
492.1667333627985,7,SERVICE_COMPLETE,Singapore,1
492.1667333627985,7,DEPARTED,Singapore,0
492.1667333627985,7,ENROUTE,Suez,0
496.9947523990222,5,SERVICE_COMPLETE,Panama,2
496.9947523990222,5,DEPARTED,Panama,0
496.9947523990222,5,ENROUTE,Shanghai,0
510.1114190656888,22,BERTHED,Shanghai,1
510.1114190656888,22,SERVICE_STARTED,Shanghai,1
515.9125111197604,4,BERTHED,Panama,1
515.9125111197604,4,SERVICE_STARTED,Panama,1
517.6834000294651,21,BERTHED,Singapore,1
517.6834000294651,21,SERVICE_STARTED,Singapore,1
519.4631319274129,2,SERVICE_COMPLETE,Suez,1
519.4631319274129,2,DEPARTED,Suez,0
519.4631319274129,2,ENROUTE,Singapore,0
527.3413077752298,13,BERTHED,Suez,1
527.3413077752298,13,SERVICE_STARTED,Suez,1
528.5954177821184,8,QUEUED,Singapore,0
532.5458444530938,4,SERVICE_COMPLETE,Panama,1
532.5458444530938,4,DEPARTED,Panama,0
532.5458444530938,4,ENROUTE,Singapore,0
537.7780857323555,19,SERVICE_COMPLETE,Panama,1
537.7780857323555,19,DEPARTED,Panama,0
537.7780857323555,19,ENROUTE,Antwerp,0
539.2246411085631,20,BERTHED,Suez,2
539.2246411085631,20,SERVICE_STARTED,Suez,2
542.3500666961319,14,SERVICE_COMPLETE,Singapore,2
542.3500666961319,8,BERTHED,Singapore,1
542.3500666961319,8,SERVICE_STARTED,Singapore,1
542.3500666961319,14,DEPARTED,Singapore,0
542.3500666961319,14,ENROUTE,Shanghai,0
555.7413077752298,13,SERVICE_COMPLETE,Suez,1
555.7413077752298,13,DEPARTED,Suez,0
555.7413077752298,13,ENROUTE,Antwerp,0
556.811036970157,3,BERTHED,Singapore,1
556.811036970157,3,SERVICE_STARTED,Singapore,1
559.6280857323554,22,SERVICE_COMPLETE,Shanghai,1
559.6280857323554,22,DEPARTED,Shanghai,0
559.6280857323554,22,ENROUTE,Singapore,0
562.6125111197605,11,BERTHED,Panama,1
562.6125111197605,11,SERVICE_STARTED,Panama,1
572.2000666961318,21,SERVICE_COMPLETE,Singapore,1
572.2000666961318,21,DEPARTED,Singapore,0
572.2000666961318,21,ENROUTE,Shanghai,0
572.7958444530938,17,BERTHED,Panama,2
572.7958444530938,17,SERVICE_STARTED,Panama,2
587.5125111197605,11,SERVICE_COMPLETE,Panama,1
587.5125111197605,11,DEPARTED,Panama,0
587.5125111197605,11,ENROUTE,Antwerp,0
589.995614085609,6,BERTHED,Panama,1
589.995614085609,6,SERVICE_STARTED,Panama,1
595.1834000294652,8,SERVICE_COMPLETE,Singapore,1
595.1834000294652,8,DEPARTED,Singapore,0
595.1834000294652,8,ENROUTE,Suez,0
604.5122807522756,6,SERVICE_COMPLETE,Panama,1
604.5122807522756,6,DEPARTED,Panama,0
604.5122807522756,6,ENROUTE,Antwerp,0
605.3777036368238,3,SERVICE_COMPLETE,Singapore,1
605.3777036368238,3,DEPARTED,Singapore,0
605.3777036368238,3,ENROUTE,Shanghai,0
622.7558449748948,18,BERTHED,Panama,1
622.7558449748948,18,SERVICE_STARTED,Panama,1
634.8138355306094,1,BERTHED,Suez,1
634.8138355306094,1,SERVICE_STARTED,Suez,1
645.3278259386711,14,BERTHED,Shanghai,1
645.3278259386711,14,SERVICE_STARTED,Shanghai,1
648.0471688639427,1,SERVICE_COMPLETE,Suez,1
648.0471688639427,1,DEPARTED,Suez,0
648.0471688639427,1,ENROUTE,Antwerp,0
650.6246411085631,20,SERVICE_COMPLETE,Suez,2
650.6246411085631,20,DEPARTED,Suez,0
650.6246411085631,20,ENROUTE,Singapore,0
657.6558449748948,18,SERVICE_COMPLETE,Panama,1
657.6558449748948,18,DEPARTED,Panama,0
657.6558449748948,18,ENROUTE,Antwerp,0
660.5625111197604,17,SERVICE_COMPLETE,Panama,2
660.5625111197604,17,DEPARTED,Panama,0
660.5625111197604,17,ENROUTE,Antwerp,0
662.6058449748947,22,BERTHED,Singapore,1
662.6058449748947,22,SERVICE_STARTED,Singapore,1
662.7891783082281,10,BERTHED,Panama,1
662.7891783082281,10,SERVICE_STARTED,Panama,1
664.3611592720044,14,SERVICE_COMPLETE,Shanghai,1
664.3611592720044,14,DEPARTED,Shanghai,0
664.3611592720044,14,ENROUTE,Singapore,0
672.2558449748947,22,SERVICE_COMPLETE,Singapore,1
672.2558449748947,22,DEPARTED,Singapore,0
672.2558449748947,22,ENROUTE,Suez,0
675.177825938671,21,BERTHED,Shanghai,1
675.177825938671,21,SERVICE_STARTED,Shanghai,1
675.1891783082281,10,SERVICE_COMPLETE,Panama,1
675.1891783082281,10,DEPARTED,Panama,0
675.1891783082281,10,ENROUTE,Shanghai,0
690.7066326598383,7,BERTHED,Suez,1
690.7066326598383,7,SERVICE_STARTED,Suez,1
708.355462879363,3,BERTHED,Shanghai,2
708.355462879363,3,SERVICE_STARTED,Shanghai,2
714.3611592720043,21,SERVICE_COMPLETE,Shanghai,1
714.3611592720043,21,DEPARTED,Shanghai,0
714.3611592720043,21,ENROUTE,Panama,0
718.0030312244527,2,BERTHED,Singapore,1
718.0030312244527,2,SERVICE_STARTED,Singapore,1
724.0899659931716,7,SERVICE_COMPLETE,Suez,1
724.0899659931716,7,DEPARTED,Suez,0
724.0899659931716,7,ENROUTE,Antwerp,0
730.255462879363,3,SERVICE_COMPLETE,Shanghai,2
730.255462879363,3,DEPARTED,Shanghai,0
730.255462879363,3,ENROUTE,Singapore,0
733.8030312244526,2,SERVICE_COMPLETE,Singapore,1
733.8030312244526,2,DEPARTED,Singapore,0
733.8030312244526,2,ENROUTE,Suez,0
740.4592261084933,12,BERTHED,Antwerp,1
740.4592261084933,12,SERVICE_STARTED,Antwerp,1
744.4848085076551,13,BERTHED,Antwerp,2
744.4848085076551,13,SERVICE_STARTED,Antwerp,2
757.92589277516,12,SERVICE_COMPLETE,Antwerp,1
757.92589277516,12,DEPARTED,Antwerp,0
757.92589277516,12,ENROUTE,Panama,0
765.1514751743217,13,SERVICE_COMPLETE,Antwerp,2
765.1514751743217,13,DEPARTED,Antwerp,0
765.1514751743217,13,ENROUTE,Panama,0
767.3389185145437,14,BERTHED,Singapore,1
767.3389185145437,14,SERVICE_STARTED,Singapore,1
768.1024104168002,9,BERTHED,Panama,1
768.1024104168002,9,SERVICE_STARTED,Panama,1
777.9524104168003,9,SERVICE_COMPLETE,Panama,1
777.9524104168003,9,DEPARTED,Panama,0
777.9524104168003,9,ENROUTE,Singapore,0
781.1357437501335,16,BERTHED,Panama,1
781.1357437501335,16,SERVICE_STARTED,Panama,1
793.7232993265051,8,BERTHED,Suez,1
793.7232993265051,8,SERVICE_STARTED,Suez,1
804.7066326598384,8,SERVICE_COMPLETE,Suez,1
804.7066326598384,8,DEPARTED,Suez,0
804.7066326598384,8,ENROUTE,Singapore,0
812.97589277516,19,BERTHED,Antwerp,1
812.97589277516,19,SERVICE_STARTED,Antwerp,1
822.1555851812104,14,SERVICE_COMPLETE,Singapore,1
822.1555851812104,14,DEPARTED,Singapore,0
822.1555851812104,14,ENROUTE,Suez,0
833.2332221219023,3,BERTHED,Singapore,1
833.2332221219023,3,SERVICE_STARTED,Singapore,1
836.790669596368,1,BERTHED,Antwerp,2
836.790669596368,1,SERVICE_STARTED,Antwerp,2
845.1740029297014,1,SERVICE_COMPLETE,Antwerp,2
845.1740029297014,1,DEPARTED,Antwerp,0
845.1740029297014,1,ENROUTE,Suez,0
847.4124109386012,15,BERTHED,Panama,2
847.4124109386012,15,SERVICE_STARTED,Panama,2
849.1645404056029,20,BERTHED,Singapore,2
849.1645404056029,20,SERVICE_STARTED,Singapore,2
856.4857437501336,16,SERVICE_COMPLETE,Panama,1
856.4857437501336,16,DEPARTED,Panama,0
856.4857437501336,16,ENROUTE,Antwerp,0
862.7103181625648,11,BERTHED,Antwerp,1
862.7103181625648,11,SERVICE_STARTED,Antwerp,1
870.7957442719345,22,BERTHED,Suez,1
870.7957442719345,22,SERVICE_STARTED,Suez,1
873.8332221219023,3,SERVICE_COMPLETE,Singapore,1
873.8332221219023,3,DEPARTED,Singapore,0
873.8332221219023,3,ENROUTE,Shanghai,0
877.5436514958982,11,SERVICE_COMPLETE,Antwerp,1
877.5436514958982,11,DEPARTED,Antwerp,0
877.5436514958982,11,ENROUTE,Panama,0
879.71008779508,6,BERTHED,Antwerp,1
879.71008779508,6,SERVICE_STARTED,Antwerp,1
